,Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O,stockname
319,2018-09-07,1310.0,1374.0,1310.0,1345.25,1343.03,30630.0,2006.0,41136864.0,5068.0,16.55,64.0,35.25,BOM500002
320,2018-09-06,1277.0,1320.0,1270.0,1291.1,1286.48,3747.0,349.0,4820443.0,875.0,23.35,50.0,14.1,BOM500002
321,2018-09-05,1292.85,1292.85,1228.85,1253.75,1258.16,11143.0,796.0,14019682.0,3986.0,35.77,64.0,-39.1,BOM500002
322,2018-09-04,1307.0,1307.05,1252.9,1274.55,1276.35,10298.0,593.0,13143814.0,4074.0,39.56,54.15,-32.45,BOM500002
323,2018-09-03,1321.05,1321.05,1300.0,1305.1,1305.99,25971.0,258.0,33917822.0,22649.0,87.21,21.05,-15.95,BOM500002
324,2018-08-31,1311.35,1330.0,1305.05,1312.35,1314.9,5703.0,348.0,7498851.0,2184.0,38.3,24.95,1.0,BOM500002
325,2018-08-30,1327.3,1334.0,1303.95,1312.4,1320.53,5866.0,501.0,7746235.0,1401.0,23.88,30.05,-14.9,BOM500002
326,2018-08-29,1314.5,1365.65,1302.95,1322.1,1341.71,19112.0,1212.0,25642777.0,4118.0,21.55,62.7,7.6,BOM500002
327,2018-08-28,1325.0,1327.2,1300.0,1309.25,1308.37,15218.0,471.0,19910764.0,1739.0,11.43,27.2,-15.75,BOM500002
328,2018-08-27,1320.0,1331.45,1312.7,1322.25,1326.14,8289.0,547.0,10992380.0,3162.0,38.15,18.75,2.25,BOM500002
329,2018-08-24,1330.0,1355.65,1309.95,1318.85,1333.35,16710.0,1116.0,22280213.0,4006.0,23.97,45.7,-11.15,BOM500002
330,2018-08-23,1275.0,1331.9,1275.0,1325.85,1309.49,37322.0,1841.0,48872646.0,11171.0,29.93,56.9,50.85,BOM500002
331,2018-08-21,1232.0,1282.0,1232.0,1272.05,1254.31,141412.0,2346.0,177373949.0,112834.0,79.79,50.0,40.05,BOM500002
332,2018-08-20,1234.05,1266.65,1210.0,1223.05,1241.6,22322.0,1344.0,27714975.0,6492.0,29.08,56.65,-11.0,BOM500002
333,2018-08-17,1211.55,1235.0,1194.8,1227.0,1215.84,2779.0,330.0,3378827.0,1197.0,43.07,40.2,15.45,BOM500002
334,2018-08-16,1208.0,1219.9,1190.75,1198.8,1204.91,3227.0,254.0,3888245.0,1661.0,51.47,29.15,-9.2,BOM500002
335,2018-08-14,1200.0,1219.3,1194.0,1207.35,1202.33,1172.0,154.0,1409133.0,341.0,29.1,25.3,7.35,BOM500002
336,2018-08-13,1201.0,1233.35,1163.55,1204.9,1195.42,5811.0,365.0,6946608.0,1647.0,28.34,69.8,3.9,BOM500002
337,2018-08-10,1197.45,1211.65,1197.45,1206.95,1207.86,7255.0,213.0,8763004.0,1085.0,14.96,14.2,9.5,BOM500002
338,2018-08-09,1206.0,1216.1,1198.2,1204.9,1208.27,1830.0,218.0,2211141.0,628.0,34.32,17.9,-1.1,BOM500002
339,2018-08-08,1211.3,1223.05,1206.0,1211.65,1213.62,2718.0,240.0,3298613.0,953.0,35.06,17.05,0.35,BOM500002
340,2018-08-07,1195.75,1220.0,1188.05,1205.1,1195.85,5595.0,380.0,6690759.0,2533.0,45.27,31.95,9.35,BOM500002
341,2018-08-06,1205.0,1214.0,1190.0,1193.05,1201.61,3345.0,232.0,4019384.0,2131.0,63.71,24.0,-11.95,BOM500002
342,2018-08-03,1210.55,1212.15,1200.1,1205.9,1207.99,844.0,112.0,1019547.0,235.0,27.84,12.05,-4.65,BOM500002
343,2018-08-02,1213.05,1230.0,1190.25,1204.05,1213.12,2784.0,264.0,3377333.0,816.0,29.31,39.75,-9.0,BOM500002
