Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O,stockname
2017-01-13,1222.0,1248.5,1222.0,1244.1,1241.76,44493.0,2988.0,55249790.0,13438.0,30.2,26.5,22.1,BOM500010
2017-01-12,1234.0,1242.5,1216.55,1220.1,1225.78,75488.0,3538.0,92531482.0,28760.0,38.1,25.95,-13.9,BOM500010
2017-01-11,1220.0,1232.45,1219.15,1228.95,1226.86,57705.0,2866.0,70796112.0,22716.0,39.37,13.3,8.95,BOM500010
2017-01-10,1229.75,1229.75,1213.2,1216.45,1218.26,56620.0,3450.0,68977643.0,18827.0,33.25,16.55,-13.3,BOM500010
2017-01-09,1232.5,1232.5,1213.65,1222.25,1222.62,31659.0,1601.0,38706854.0,9179.0,28.99,18.85,-10.25,BOM500010
2017-01-06,1216.55,1232.4,1216.55,1222.15,1226.34,183981.0,2595.0,225623648.0,150919.0,82.03,15.85,5.6,BOM500010
2017-01-05,1225.0,1225.0,1205.3,1216.55,1213.73,87123.0,3068.0,105743787.0,20362.0,23.37,19.7,-8.45,BOM500010
2017-01-04,1215.25,1225.0,1197.55,1212.5,1218.04,584379.0,2793.0,711798961.0,539272.0,92.28,27.45,-2.75,BOM500010
2017-01-03,1220.0,1222.0,1201.0,1215.25,1212.64,142770.0,4078.0,173128762.0,77968.0,54.61,21.0,-4.75,BOM500010
2017-01-02,1275.0,1275.0,1214.15,1219.25,1236.81,197843.0,5867.0,244694036.0,42019.0,21.24,60.85,-55.75,BOM500010
